nat_team_alpha3,url_team,kit_shirt,kit_away,kit_shorts,kit_socks
ARG,/wiki/Argentina_national_football_team,#FFFFFF,#163656,#000000,#FFFFFF
CHL,/wiki/Chile_national_football_team,#FF0000,#FFFFFF,#0000FF,#0000CE
FRA,/wiki/France_national_football_team,#112850,#FFFFFC,#112855,#F1030A
MEX,/wiki/Mexico_national_football_team,#000000,#FFFFFF,#000000,#000000
YUG,/wiki/Yugoslavia_national_football_team,#0000FF,#FFFFFF,#FFFFFF,#FF0000
BRA,/wiki/Brazil_national_football_team,#FFCC00,#003CFF,#0000FF,#FFFFFF
BOL,/wiki/Bolivia_national_football_team,#117355,#FFFFFF,#117355,#8B0000
URY,/wiki/Uruguay_national_football_team,#FFFFFF,#FFFFFF,#000000,#000000
ROU,/wiki/Romania_national_football_team,#FEEE00,#175eab,#FFFFFF,#FEEE00
PER,/wiki/Peru_national_football_team,#FFFFFF,#de0419,#FFFFFF,#FFFFFF
USA,/wiki/United_States_men%27s_national_soccer_team,#FFFFFF,#0A1021,#182F87,#FFFFFF
PRY,/wiki/Paraguay_national_football_team,#FF0000,#FFFFFF,#0000FF,#0000FF
BEL,/wiki/Belgium_national_football_team,#FF0000,#FAFAFF,#FF0000,#FF0000
ITA,/wiki/Italy_national_football_team,#103CD6,#FFFFFF,#FFFFFF,#0033FF
CSK,/wiki/Czechoslovakia_national_football_team,#FF0000,#FFFFFF,#FFFFFF,#29459B
DEU,/wiki/Germany_national_football_team,#FFFFFF,#000000,#000000,#FFFFFF
AUT,/wiki/Austria_national_football_team,#C00000,#000000,#FFFFFF,#C00000
ESP,/wiki/Spain_national_football_team,#E00000,#FFFFFF,#020053,#020053
HUN,/wiki/Hungary_national_football_team,#FF0000,#FFFFFF,#FFFFFF,#00A354
CHE,/wiki/Switzerland_national_football_team,#F6090F,#FFFFFF,#740C14,#F6090F
SWE,/wiki/Sweden_national_football_team,#FFEC00,#000555,#000555,#FFFF00
NLD,/wiki/Netherlands_national_football_team,#FF5300,#000000,#FF5300,#FF5300
EGY,/wiki/Egypt_national_football_team,#FF0000,#FFFFFF,#FFFFFF,#000000
CUB,/wiki/Cuba_national_football_team,#FF0000,#FFFFFF,#FF0000,#FF0000
POL,/wiki/Poland_national_football_team,#FFFFFF,#F40018,#F40018,#FFFFFF
NOR,/wiki/Norway_national_football_team,#D70015,#FFFFFF,#FFFFFF,#15162A
DEI,/wiki/Indonesia_national_football_team,#EC0023,#FFFFFF,#FFFFFF,#EC0023
GB-ENG,/wiki/England_national_football_team,#FFFFFF,#0048CE,#000040,#FFFFFF
TUR,/wiki/Turkey_national_football_team,#FFFFFF,#FF0000,#FFFFFF,#FFFFFF
KOR,/wiki/South_Korea_national_football_team,#FF0B23,#FFFFFF,#FF0B23,#FF0B23
GB-SCT,/wiki/Scotland_national_football_team,#05005B,#FFFF4A,#000055,#000055
SUN,/wiki/Soviet_Union_national_football_team,#FF0000,#FFFFFF,#FFFFFF,#FF0000
GB-NIR,/wiki/Northern_Ireland_national_football_team,#22913C,#FFFFFF,#FFFFFF,#22913C
GB-WLS,/wiki/Wales_national_football_team,#FF0000,#FFDE00,#FF0000,#FF0000
BGR,/wiki/Bulgaria_national_football_team,#FFFFFF,#FF0000,#007012,#FFFFFF
COL,/wiki/Colombia_national_football_team,#FFDD00,#151574,#0F1842,#DD0000
