year,teams,url,url_comp_logo,team_fa,nat_team,url_team,nat_team_alpha3
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Argentina national football team,Argentina,/wiki/Argentina_national_football_team,ARG
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Chile national football team,Chile,/wiki/Chile_national_football_team,CHL
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,France national football team,France,/wiki/France_national_football_team,FRA
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Mexico national football team,Mexico,/wiki/Mexico_national_football_team,MEX
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Yugoslavia national football team,Yugoslavia,/wiki/Yugoslavia_national_football_team,YUG
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Brazil national football team,Brazil,/wiki/Brazil_national_football_team,BRA
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Bolivia national football team,Bolivia,/wiki/Bolivia_national_football_team,BOL
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Uruguay national football team,Uruguay,/wiki/Uruguay_national_football_team,URY
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Romania national football team,Romania,/wiki/Romania_national_football_team,ROU
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Peru national football team,Peru,/wiki/Peru_national_football_team,PER
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,United States men's national soccer team,United States,/wiki/United_States_men%27s_national_soccer_team,USA
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Paraguay national football team,Paraguay,/wiki/Paraguay_national_football_team,PRY
1930,13,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Uruguay_1930_World_Cup.jpg/175px-Uruguay_1930_World_Cup.jpg,Belgium national football team,Belgium,/wiki/Belgium_national_football_team,BEL
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Italy national football team,Italy,/wiki/Italy_national_football_team,ITA
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Czechoslovakia national football team,Czechoslovakia,/wiki/Czechoslovakia_national_football_team,CSK
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Germany national football team,Germany,/wiki/Germany_national_football_team,DEU
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Austria national football team,Austria,/wiki/Austria_national_football_team,AUT
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Spain national football team,Spain,/wiki/Spain_national_football_team,ESP
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Hungary national football team,Hungary,/wiki/Hungary_national_football_team,HUN
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Switzerland national football team,Switzerland,/wiki/Switzerland_national_football_team,CHE
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Sweden national football team,Sweden,/wiki/Sweden_national_football_team,SWE
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,Argentina national football team,Argentina,/wiki/Argentina_national_football_team,ARG
1934,16,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,//upload.wikimedia.org/wikipedia/en/thumb/3/37/WorldCup1934poster.jpg/150px-WorldCup1934poster.jpg,France national football team,France,/wiki/France_national_football_team,FRA
