year,squad,no,pos,player,date_of_birth_age,caps,club,player_url,club_fa_url,club_fa,club_2,club_country,club_country_flag,goals,captain,player_original,nat_team,club_country_harm,nat_team_alpha3,club_alpha3
1930,Argentina,NA,GK,Ángel Bossio,(1905-05-05)5 May 1905 (aged 25),16,Talleres (BA),/wiki/%C3%81ngel_Bossio,/wiki/Argentine_Football_Association,Argentine Football Association,Talleres (BA),Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Ángel Bossio,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,GK,Juan Botasso,(1908-10-23)23 October 1908 (aged 21),2,Argentino (Q),/wiki/Juan_Botasso,/wiki/Argentine_Football_Association,Argentine Football Association,Argentino (Q),Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Juan Botasso,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,FW,Roberto Cherro,(1907-02-23)23 February 1907 (aged 23),10,Boca Juniors,/wiki/Roberto_Cherro,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Roberto Cherro,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,DF,Alberto Chividini,(1907-02-23)23 February 1907 (aged 23),2,Central Norte,/wiki/Alberto_Chividini,/wiki/Argentine_Football_Association,Argentine Football Association,Central Norte,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Alberto Chividini,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,FW,Attilio Demaría,(1909-03-19)19 March 1909 (aged 21),0,Estudiantil Porteño,/wiki/Attilio_Demar%C3%ADa,/wiki/Argentine_Football_Association,Argentine Football Association,Estudiantil Porteño,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Attilio Demaría,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,DF,José Della Torre,(1906-03-23)23 March 1906 (aged 24),0,Racing,/wiki/Jos%C3%A9_Della_Torre,/wiki/Argentine_Football_Association,Argentine Football Association,Racing,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,José Della Torre,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,MF,Juan Evaristo,(1902-06-20)20 June 1902 (aged 28),22,Sportivo Palermo,/wiki/Juan_Evaristo,/wiki/Argentine_Football_Association,Argentine Football Association,Sportivo Palermo,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Juan Evaristo,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,FW,Mario Evaristo,(1908-12-10)10 December 1908 (aged 21),6,Boca Juniors,/wiki/Mario_Evaristo,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Mario Evaristo,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,FW,Manuel Ferreira,(1905-10-22)22 October 1905 (aged 24),18,Estudiantes (LP),/wiki/Manuel_Ferreira_(footballer),/wiki/Argentine_Football_Association,Argentine Football Association,Estudiantes (LP),Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,TRUE,Manuel Ferreira (c),Argentina,Argentina,ARG,ARG
1930,Argentina,NA,MF,Luis Monti,(1901-05-15)15 May 1901 (aged 29),11,San Lorenzo,/wiki/Luis_Monti,/wiki/Argentine_Football_Association,Argentine Football Association,San Lorenzo,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Luis Monti,Argentina,Argentina,ARG,ARG
1930,Argentina,NA,DF,Ramón Muttis,(1899-03-12)12 March 1899 (aged 31),10,Boca Juniors,/wiki/Ram%C3%B3n_Muttis,/wiki/Argentine_Football_Association,Argentine Football Association,Boca Juniors,Argentina,//upload.wikimedia.org/wikipedia/commons//2/2a/Flag_of_Argentina_%28alternative%29.svg,NA,FALSE,Ramón Muttis,Argentina,Argentina,ARG,ARG
