country,region,wc2010,wc2006,wc2002,wc2014,r1,g1,b1,r2,g2,b2
American Samoa,OFC,0,0,0,0,,,,,,
Cook Islands,OFC,0,0,0,0,,,,,,
Fiji,OFC,0,0,0,0,,,,,,
Kiribati,OFC,0,0,0,0,,,,,,
New Caledonia,OFC,0,0,0,0,,,,,,
New Zealand,OFC,1,0,0,0,255,255,255,0,0,0
Niue,OFC,0,0,0,0,,,,,,
Papua New Guinea,OFC,0,0,0,0,,,,,,
Samoa,OFC,0,0,0,0,,,,,,
Solomon Islands,OFC,0,0,0,0,,,,,,
Tahiti,OFC,0,0,0,0,,,,,,
Tonga,OFC,0,0,0,0,,,,,,
Tuvalu,OFC,0,0,0,0,,,,,,
Vanuatu,OFC,0,0,0,0,,,,,,
Afghanistan,AFC,0,0,0,0,,,,,,
Australia,AFC,1,1,0,1,246,200,119,48,98,81
Bahrain,AFC,0,0,0,0,,,,,,
Bangladesh,AFC,0,0,0,0,,,,,,
Bhutan,AFC,0,0,0,0,,,,,,
Brunei Darussalam,AFC,0,0,0,0,,,,,,
Cambodia,AFC,0,0,0,0,,,,,,
China,AFC,0,0,1,0,,,,,,
Chinese Taipei,AFC,0,0,0,0,,,,,,
Guam,AFC,0,0,0,0,,,,,,
Hong Kong,AFC,0,0,0,0,,,,,,
India,AFC,0,0,0,0,,,,,,
Indonesia,AFC,0,0,0,0,,,,,,
Iran,AFC,0,1,0,1,255,255,255,197,46,53
Iraq,AFC,0,0,0,0,,,,,,
Japan,AFC,1,1,1,1,39,42,90,39,42,90
Jordan,AFC,0,0,0,0,,,,,,
North Korea,AFC,1,0,0,0,211,37,41,211,37,41
South Korea,AFC,1,1,1,1,247,36,58,0,74,173
Kuwait,AFC,0,0,0,0,,,,,,
Kyrgyzstan,AFC,0,0,0,0,,,,,,
Laos,AFC,0,0,0,0,,,,,,
Lebanon,AFC,0,0,0,0,,,,,,
Macau,AFC,0,0,0,0,,,,,,
Malaysia,AFC,0,0,0,0,,,,,,
Maldives,AFC,0,0,0,0,,,,,,
Mongolia,AFC,0,0,0,0,,,,,,
Myanmar,AFC,0,0,0,0,,,,,,
Nepal,AFC,0,0,0,0,,,,,,
Northern Mariana Islands,AFC,0,0,0,0,,,,,,
Oman,AFC,0,0,0,0,,,,,,
Pakistan,AFC,0,0,0,0,,,,,,
Palestine,AFC,0,0,0,0,,,,,,
Philippines,AFC,0,0,0,0,,,,,,
Qatar,AFC,0,0,0,0,,,,,,
Saudi Arabia,AFC,0,1,1,0,255,255,255,68,96,91
Singapore,AFC,0,0,0,0,,,,,,
Sri Lanka,AFC,0,0,0,0,,,,,,
Syria,AFC,0,0,0,0,,,,,,
Tajikistan,AFC,0,0,0,0,,,,,,
Thailand,AFC,0,0,0,0,,,,,,
Timor-Leste,AFC,0,0,0,0,,,,,,
Turkmenistan,AFC,0,0,0,0,,,,,,
U.A.E.,AFC,0,0,0,0,,,,,,
Uzbekistan,AFC,0,0,0,0,,,,,,
Vietnam,AFC,0,0,0,0,,,,,,
Yemen,AFC,0,0,0,0,,,,,,
Anguilla,CONCACAF,0,0,0,0,,,,,,
